Date,Symbol,Open,High,Low,Close,Adj Close,Volume
02-01-2017,RELIANCE,1084.0,1090.0,1072.35,1085.1,1086.63,1622458
03-01-2017,RELIANCE,1089.85,1097.0,1081.1,1089.4,1091.74,1470751
04-01-2017,RELIANCE,1092.9,1093.0,1064.3,1067.15,1072.39,2375547
05-01-2017,RELIANCE,1071.0,1079.9,1068.75,1077.4,1077.12,1996483
06-01-2017,RELIANCE,1074.2,1085.0,1073.1,1074.95,1078.77,1793427
09-01-2017,RELIANCE,1077.0,1086.0,1071.0,1077.7,1079.41,1195257
10-01-2017,RELIANCE,1080.0,1094.4,1080.0,1089.85,1089.83,2594400
11-01-2017,RELIANCE,1095.0,1095.7,1084.0,1086.05,1087.58,2623211
12-01-2017,RELIANCE,1087.0,1090.35,1079.8,1083.3,1084.63,999364
13-01-2017,RELIANCE,1084.55,1097.5,1084.55,1090.4,1091.91,1653669
16-01-2017,RELIANCE,1089.95,1093.95,1073.95,1076.25,1078.39,2746005
17-01-2017,RELIANCE,1065.0,1068.0,1038.5,1041.25,1049.23,8968290
18-01-2017,RELIANCE,1042.6,1048.0,1028.75,1032.55,1036.48,3627071
19-01-2017,RELIANCE,1035.15,1045.3,1031.0,1033.7,1037.12,3493728
20-01-2017,RELIANCE,1033.95,1037.45,1023.9,1025.8,1029.42,2008082
23-01-2017,RELIANCE,1021.8,1031.0,1012.8,1015.9,1019.37,3133533
24-01-2017,RELIANCE,1017.0,1028.8,1017.0,1027.3,1024.12,2153091
25-01-2017,RELIANCE,1032.0,1032.7,1016.15,1017.3,1020.11,5453230
27-01-2017,RELIANCE,1020.25,1028.9,1019.0,1025.1,1024.42,4997239
30-01-2017,RELIANCE,1024.95,1046.45,1024.8,1044.8,1038.36,3583756
31-01-2017,RELIANCE,1046.85,1053.8,1040.3,1045.2,1046.18,3457365
01-02-2017,RELIANCE,1046.1,1050.9,1035.2,1049.65,1044.86,2585798
02-02-2017,RELIANCE,1050.0,1050.8,1038.25,1043.5,1042.22,2079908
03-02-2017,RELIANCE,1046.0,1050.45,1030.1,1033.65,1038.23,3021751
06-02-2017,RELIANCE,1037.0,1044.9,1032.05,1041.65,1038.21,2283982
07-02-2017,RELIANCE,1042.0,1042.35,1027.2,1030.9,1031.93,2264245
08-02-2017,RELIANCE,1030.9,1038.25,1022.0,1025.15,1027.7,3710094
09-02-2017,RELIANCE,1028.0,1034.0,1026.8,1032.75,1030.58,2254216
10-02-2017,RELIANCE,1035.0,1035.55,1025.55,1030.15,1030.89,2861531
13-02-2017,RELIANCE,1033.0,1034.0,1022.0,1029.85,1026.56,1957988
14-02-2017,RELIANCE,1035.0,1052.9,1029.9,1049.8,1047.4,4170414
15-02-2017,RELIANCE,1052.9,1057.5,1045.25,1051.3,1052.94,3482845
16-02-2017,RELIANCE,1052.55,1069.45,1052.55,1067.5,1062.56,4492847
17-02-2017,RELIANCE,1066.5,1078.2,1058.45,1075.5,1070.57,3393856
20-02-2017,RELIANCE,1070.55,1078.85,1066.5,1075.4,1074.6,2663127
21-02-2017,RELIANCE,1075.2,1090.95,1073.05,1088.2,1084.82,3242790
22-02-2017,RELIANCE,1093.0,1211.65,1092.0,1207.5,1177.82,29103926
23-02-2017,RELIANCE,1213.6,1222.0,1179.35,1182.75,1196.34,14229234
27-02-2017,RELIANCE,1190.5,1256.8,1190.35,1238.9,1241.99,19068911
28-02-2017,RELIANCE,1232.0,1248.0,1228.5,1238.05,1240.68,8254531
01-03-2017,RELIANCE,1240.1,1244.4,1230.0,1234.5,1238.28,5574153
02-03-2017,RELIANCE,1237.9,1254.7,1227.05,1236.75,1241.01,4129033
03-03-2017,RELIANCE,1241.55,1287.8,1241.55,1258.55,1269.09,19270851
06-03-2017,RELIANCE,1269.0,1312.0,1265.25,1305.35,1298.39,15252154
07-03-2017,RELIANCE,1318.85,1327.0,1296.15,1304.95,1309.21,9616850
08-03-2017,RELIANCE,1307.7,1307.7,1286.1,1291.2,1294.73,9906103
09-03-2017,RELIANCE,1290.0,1298.0,1281.5,1286.75,1287.46,7107670
10-03-2017,RELIANCE,1290.25,1296.0,1261.2,1281.65,1282.25,5665568
14-03-2017,RELIANCE,1318.75,1319.0,1285.25,1289.5,1299.08,6346620
