Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-01,ADANIENT,EQ,83.4,83.6,90.7,82.35,90.45,90.1,87.35,5974246,52184779940000.0,23931,997632,0.167
2016-01-04,ADANIENT,EQ,90.1,89.5,92.05,84.25,85.0,85.1,87.98,5126957,45108402660000.0,21819,970860,0.1894
2016-01-05,ADANIENT,EQ,85.1,85.65,89.6,84.2,88.1,88.6,87.19,5341021,46566013495000.0,19808,698935,0.1309
2016-01-06,ADANIENT,EQ,88.6,88.0,88.95,85.3,86.2,86.25,86.99,3865229,33623170200000.0,15971,430640,0.11140000000000001
2016-01-07,ADANIENT,EQ,86.25,84.9,84.9,78.0,79.8,79.95,81.59,4859987,39650483820000.0,18395,1069125,0.22
2016-01-08,ADANIENT,EQ,79.95,82.0,83.0,80.65,82.3,82.0,82.11,3492476,28675364120000.0,14421,400348,0.11460000000000001
2016-01-11,ADANIENT,EQ,82.0,81.0,83.9,78.9,82.1,82.35,81.89,4147205,33962068320000.0,18483,552974,0.1333
2016-01-12,ADANIENT,EQ,82.35,82.35,83.75,79.5,80.25,80.8,81.56,3916491,31941798789999.996,15350,467989,0.1195
2016-01-13,ADANIENT,EQ,80.8,81.8,85.6,77.2,80.75,80.85,81.72,8071984,65967949635000.0,30011,588572,0.0729
2016-01-14,ADANIENT,EQ,80.85,78.95,81.0,77.35,77.4,77.8,79.0,4641059,36666047610000.0,19533,562939,0.1213
2016-01-15,ADANIENT,EQ,77.8,78.4,79.8,73.9,73.9,74.4,76.51,3358140,25692306525000.0,16612,590808,0.1759
2016-01-18,ADANIENT,EQ,74.4,73.8,74.3,68.2,70.3,70.1,71.05,3808252,27056278389999.996,16933,422057,0.11080000000000001
2016-01-19,ADANIENT,EQ,70.1,71.55,73.6,69.9,72.5,72.5,71.79,3234862,23224495575000.0,14210,387733,0.1199
2016-01-20,ADANIENT,EQ,72.5,70.55,71.6,67.45,68.5,68.8,69.49,2889158,20077132250000.0,11565,529732,0.1834
