Date,Symbol,Open,High,Low,Close,Adj Close,Volume
02-01-2017,SBIN,252.5,253.65,242.6,243.6,244.8,25988990
03-01-2017,SBIN,244.0,246.4,241.1,244.9,244.54,15963085
04-01-2017,SBIN,245.8,246.4,242.2,242.9,243.96,11225978
05-01-2017,SBIN,245.0,245.9,243.7,245.35,244.94,11970913
06-01-2017,SBIN,246.0,249.0,245.5,245.9,247.1,12354302
09-01-2017,SBIN,246.4,248.35,246.0,247.05,247.09,8329253
10-01-2017,SBIN,247.7,249.0,246.4,248.3,247.64,9352013
11-01-2017,SBIN,249.65,253.2,249.0,252.15,251.31,13415303
12-01-2017,SBIN,252.9,254.45,250.55,251.25,252.31,11282323
13-01-2017,SBIN,252.0,252.6,249.1,250.9,250.86,9333736
16-01-2017,SBIN,251.05,256.4,250.7,255.75,254.48,13234727
17-01-2017,SBIN,257.45,258.65,254.4,256.0,256.89,9480201
18-01-2017,SBIN,257.1,259.3,256.6,258.35,258.06,8048897
19-01-2017,SBIN,257.2,262.0,256.5,258.4,259.16,13029151
20-01-2017,SBIN,258.5,260.5,250.3,251.05,254.94,15341756
23-01-2017,SBIN,251.0,255.2,250.1,254.15,253.65,9339939
24-01-2017,SBIN,255.1,257.0,254.0,254.9,255.53,13540202
25-01-2017,SBIN,255.55,261.0,254.2,259.2,256.69,16343545
27-01-2017,SBIN,260.3,268.2,259.5,266.45,264.82,18039379
30-01-2017,SBIN,265.85,267.9,263.4,263.95,265.55,11884795
31-01-2017,SBIN,261.15,263.85,259.65,260.35,261.37,8899165
01-02-2017,SBIN,262.0,271.9,261.6,270.7,267.29,27253142
02-02-2017,SBIN,271.85,275.0,268.7,273.3,272.45,20139955
03-02-2017,SBIN,273.0,278.55,272.0,277.55,276.42,15366890
06-02-2017,SBIN,280.0,282.5,276.0,277.05,279.46,14725291
07-02-2017,SBIN,277.85,280.0,276.3,277.9,278.05,10981984
08-02-2017,SBIN,278.1,279.25,272.6,277.2,276.47,13622088
09-02-2017,SBIN,278.8,280.3,270.85,275.85,275.19,16080181
10-02-2017,SBIN,278.75,282.8,275.0,276.35,279.51,37580487
13-02-2017,SBIN,277.8,278.25,270.2,271.65,272.68,19853043
14-02-2017,SBIN,272.0,273.0,268.1,270.2,270.61,13306738
15-02-2017,SBIN,270.95,272.5,267.05,268.95,269.35,12201568
16-02-2017,SBIN,277.0,277.0,269.65,270.5,271.89,21794688
17-02-2017,SBIN,271.15,273.65,267.7,269.35,269.75,17830528
20-02-2017,SBIN,269.9,271.55,268.0,269.65,269.51,9229363
21-02-2017,SBIN,270.0,271.5,268.65,270.7,270.13,7754157
22-02-2017,SBIN,271.9,274.7,269.5,272.3,272.59,12617613
23-02-2017,SBIN,271.7,273.0,269.6,270.45,271.29,13146194
27-02-2017,SBIN,270.8,271.45,267.6,268.25,269.02,9645350
28-02-2017,SBIN,268.9,271.25,268.0,269.2,269.49,7941592
01-03-2017,SBIN,270.0,273.3,269.8,271.75,271.94,7656892
02-03-2017,SBIN,273.0,274.7,266.5,267.3,270.99,14220808
03-03-2017,SBIN,266.25,268.9,264.25,265.05,265.78,10120034
06-03-2017,SBIN,266.6,270.35,266.35,269.85,268.37,9515073
07-03-2017,SBIN,270.8,270.9,266.4,267.8,267.78,11599142
08-03-2017,SBIN,267.8,270.3,266.0,269.9,268.62,9122987
09-03-2017,SBIN,269.0,273.9,268.4,273.25,272.15,15594429
10-03-2017,SBIN,274.5,275.55,269.5,272.05,272.67,9557026
14-03-2017,SBIN,278.4,278.4,273.8,274.65,275.43,15734886
15-03-2017,SBIN,272.65,280.5,272.65,277.35,277.95,20055974
16-03-2017,SBIN,278.0,280.2,276.05,279.3,278.38,18005184
17-03-2017,SBIN,279.45,279.5,273.5,274.15,275.1,14265642
20-03-2017,SBIN,274.75,274.75,271.8,273.9,273.41,9678185
21-03-2017,SBIN,274.4,277.05,270.15,272.35,273.52,11898233
22-03-2017,SBIN,270.3,271.0,266.8,267.5,268.74,9887203
23-03-2017,SBIN,269.0,269.4,266.7,268.5,268.14,7998170
24-03-2017,SBIN,269.5,278.95,268.65,276.5,275.33,20133467
27-03-2017,SBIN,276.0,280.8,275.2,279.45,278.73,15966114
