Date,Symbol,Open,High,Low,Close,Adj Close,Volume
02-01-2017,TATAMOTORS,472.0,488.7,469.05,487.05,479.72,4024156
03-01-2017,TATAMOTORS,491.0,492.7,479.9,481.1,486.65,5814518
04-01-2017,TATAMOTORS,484.65,493.7,484.1,486.65,489.31,4769872
05-01-2017,TATAMOTORS,496.0,503.4,495.55,502.15,500.55,7961242
06-01-2017,TATAMOTORS,502.95,507.95,496.25,497.75,501.97,4907475
09-01-2017,TATAMOTORS,499.4,504.6,492.15,500.15,500.22,3932710
10-01-2017,TATAMOTORS,506.55,518.0,505.95,516.25,512.98,7973024
11-01-2017,TATAMOTORS,520.25,523.95,517.15,519.25,519.85,4886398
12-01-2017,TATAMOTORS,521.7,524.0,513.2,518.25,518.43,4219627
13-01-2017,TATAMOTORS,523.25,523.25,507.5,514.85,512.45,6367248
16-01-2017,TATAMOTORS,518.65,529.45,517.0,526.4,524.43,6084582
17-01-2017,TATAMOTORS,528.1,530.8,521.0,523.7,526.18,4297426
18-01-2017,TATAMOTORS,523.05,529.6,521.2,522.45,524.36,5874608
19-01-2017,TATAMOTORS,523.0,535.6,522.7,531.45,531.81,5810128
20-01-2017,TATAMOTORS,527.4,529.3,521.25,523.2,524.93,5013928
23-01-2017,TATAMOTORS,523.2,534.95,523.0,532.7,530.73,4209879
24-01-2017,TATAMOTORS,533.0,543.0,532.35,541.55,540.22,5183630
25-01-2017,TATAMOTORS,543.25,551.9,541.55,548.9,545.77,4504941
27-01-2017,TATAMOTORS,549.0,552.0,539.75,541.95,544.76,4493803
30-01-2017,TATAMOTORS,542.0,543.5,530.8,532.3,535.12,4163428
31-01-2017,TATAMOTORS,530.2,531.5,518.0,523.55,525.35,6035022
01-02-2017,TATAMOTORS,527.5,544.5,522.9,542.25,534.94,4786720
02-02-2017,TATAMOTORS,537.6,537.6,526.8,531.5,530.9,6579801
03-02-2017,TATAMOTORS,531.9,531.9,519.5,522.6,524.4,5298261
06-02-2017,TATAMOTORS,527.9,531.45,523.2,525.85,527.59,3642527
07-02-2017,TATAMOTORS,524.8,524.8,502.0,506.8,511.91,7987282
08-02-2017,TATAMOTORS,512.35,514.95,506.3,513.05,512.6,5975054
09-02-2017,TATAMOTORS,515.4,518.0,505.75,512.85,512.31,4099871
10-02-2017,TATAMOTORS,513.0,514.8,506.5,509.55,509.89,4732032
13-02-2017,TATAMOTORS,512.7,512.7,503.3,505.3,506.15,4700518
14-02-2017,TATAMOTORS,503.0,506.7,466.55,482.05,490.98,14901414
15-02-2017,TATAMOTORS,449.05,453.0,434.35,436.45,444.72,38638630
16-02-2017,TATAMOTORS,442.55,447.6,435.4,446.0,442.98,11622714
17-02-2017,TATAMOTORS,447.9,456.6,442.4,452.95,450.88,10063504
20-02-2017,TATAMOTORS,451.5,458.45,449.0,455.45,454.15,5866707
21-02-2017,TATAMOTORS,456.9,462.8,454.5,458.65,459.15,6875914
22-02-2017,TATAMOTORS,460.25,466.7,455.8,460.05,462.25,7315280
23-02-2017,TATAMOTORS,464.0,464.7,457.25,462.35,461.6,9492419
27-02-2017,TATAMOTORS,464.0,464.0,455.1,457.8,458.04,5510484
28-02-2017,TATAMOTORS,460.0,460.0,454.1,456.75,456.32,5722402
01-03-2017,TATAMOTORS,455.9,455.9,448.0,449.45,450.86,8367579
02-03-2017,TATAMOTORS,457.85,467.9,453.2,461.7,463.03,13667695
03-03-2017,TATAMOTORS,463.3,466.85,458.6,459.95,461.43,7085620
06-03-2017,TATAMOTORS,462.5,472.7,462.1,470.8,467.79,4036291
07-03-2017,TATAMOTORS,469.5,475.9,466.05,467.55,470.44,7114541
08-03-2017,TATAMOTORS,469.4,469.6,461.15,462.8,463.11,5351597
09-03-2017,TATAMOTORS,462.45,469.7,462.0,467.6,466.96,3837624
10-03-2017,TATAMOTORS,471.0,471.85,465.1,469.1,468.76,5766815
14-03-2017,TATAMOTORS,481.0,483.0,468.45,469.75,472.78,6348198
15-03-2017,TATAMOTORS,475.0,476.55,470.65,473.45,473.58,4801312
16-03-2017,TATAMOTORS,478.7,482.0,476.15,480.95,479.2,6272947
17-03-2017,TATAMOTORS,481.35,484.2,471.7,476.5,477.24,6338248
20-03-2017,TATAMOTORS,476.55,478.2,470.75,476.0,474.26,2871104
21-03-2017,TATAMOTORS,478.0,478.05,470.65,473.75,473.13,4685410
22-03-2017,TATAMOTORS,469.95,469.95,458.5,459.9,463.77,4695648
23-03-2017,TATAMOTORS,461.3,477.0,461.3,472.9,470.24,8665384
24-03-2017,TATAMOTORS,470.75,474.8,467.55,470.4,471.19,4296510
27-03-2017,TATAMOTORS,469.0,469.15,462.1,464.75,464.91,4417413
28-03-2017,TATAMOTORS,467.5,473.0,467.5,472.4,471.33,2982614
29-03-2017,TATAMOTORS,474.9,475.0,463.6,469.05,470.33,6680569
30-03-2017,TATAMOTORS,463.5,469.8,462.85,468.4,467.74,9482785
31-03-2017,TATAMOTORS,466.5,472.5,464.5,465.85,468.06,6400088
03-04-2017,TATAMOTORS,468.25,472.3,467.6,470.4,469.82,2951896
05-04-2017,TATAMOTORS,470.4,475.0,467.25,473.5,472.43,5287168
06-04-2017,TATAMOTORS,474.3,478.5,470.6,473.2,474.22,6703078
07-04-2017,TATAMOTORS,468.45,480.55,466.65,468.3,473.0,8089461
10-04-2017,TATAMOTORS,471.65,478.3,467.55,474.9,473.65,5437523
11-04-2017,TATAMOTORS,477.9,478.35,471.1,472.25,474.69,4887918
12-04-2017,TATAMOTORS,468.7,471.55,461.6,464.55,466.52,5991598
13-04-2017,TATAMOTORS,461.85,463.35,451.2,453.35,456.29,5930185
17-04-2017,TATAMOTORS,452.0,455.7,447.3,449.2,450.98,4913930
18-04-2017,TATAMOTORS,452.0,455.75,442.5,443.7,450.13,4235130
19-04-2017,TATAMOTORS,443.0,449.5,438.3,443.05,443.13,6319332
20-04-2017,TATAMOTORS,447.85,447.85,442.1,443.95,444.64,3288900
21-04-2017,TATAMOTORS,446.75,448.45,437.6,440.6,442.22,5325590
24-04-2017,TATAMOTORS,439.8,449.0,438.75,443.85,444.61,6214069
25-04-2017,TATAMOTORS,445.85,447.75,443.3,445.65,445.89,5894090
26-04-2017,TATAMOTORS,446.0,454.4,445.5,450.8,451.05,8438042
27-04-2017,TATAMOTORS,455.0,460.9,452.7,455.35,457.48,10589249
28-04-2017,TATAMOTORS,457.1,462.0,454.4,458.9,458.61,5126904
02-05-2017,TATAMOTORS,456.6,457.2,448.55,451.25,451.43,6071958
03-05-2017,TATAMOTORS,451.35,456.0,444.65,446.6,451.24,5158586
04-05-2017,TATAMOTORS,446.65,448.1,435.15,436.5,439.55,6204022
05-05-2017,TATAMOTORS,436.5,436.5,418.0,419.6,423.45,9487539
08-05-2017,TATAMOTORS,424.75,428.7,417.25,422.65,424.02,7427873
09-05-2017,TATAMOTORS,424.75,428.8,422.7,426.8,426.54,2833132
10-05-2017,TATAMOTORS,427.8,433.0,424.0,432.3,430.59,5378402
11-05-2017,TATAMOTORS,434.0,434.5,425.4,427.45,429.33,4049649
12-05-2017,TATAMOTORS,429.65,433.8,427.45,430.85,430.55,3850940
15-05-2017,TATAMOTORS,434.0,434.0,430.1,431.9,431.81,1885702
16-05-2017,TATAMOTORS,432.25,439.5,432.25,437.25,437.4,3452072
17-05-2017,TATAMOTORS,436.5,452.5,435.1,449.1,445.54,6572678
18-05-2017,TATAMOTORS,442.0,448.7,436.0,437.95,441.86,6158546
19-05-2017,TATAMOTORS,439.0,444.95,434.6,443.35,440.79,4387481
22-05-2017,TATAMOTORS,446.0,452.75,442.6,449.65,449.34,6145914
23-05-2017,TATAMOTORS,451.45,456.45,444.3,450.5,450.61,10330814
24-05-2017,TATAMOTORS,470.0,473.35,458.1,469.55,467.4,27370795
25-05-2017,TATAMOTORS,470.0,479.0,464.7,476.0,474.63,15108872
26-05-2017,TATAMOTORS,474.1,488.25,473.5,481.1,482.95,7692869
29-05-2017,TATAMOTORS,482.5,485.0,471.8,481.5,478.34,4253044
30-05-2017,TATAMOTORS,482.7,487.0,480.0,481.3,484.28,3101380
31-05-2017,TATAMOTORS,482.3,483.0,474.8,476.15,478.07,5393856
01-06-2017,TATAMOTORS,476.95,479.7,473.55,476.65,476.6,3001232
02-06-2017,TATAMOTORS,480.0,485.95,477.7,478.75,481.96,4319080
05-06-2017,TATAMOTORS,478.3,481.9,475.2,478.15,478.48,2464819
06-06-2017,TATAMOTORS,482.9,484.35,457.6,461.0,467.17,8016939
07-06-2017,TATAMOTORS,462.55,463.65,453.5,458.0,457.44,5250544
08-06-2017,TATAMOTORS,459.5,463.45,457.35,460.8,460.77,4066322
09-06-2017,TATAMOTORS,459.95,468.0,455.0,467.1,462.8,4598706
12-06-2017,TATAMOTORS,463.75,465.25,455.2,456.25,460.15,4341696
13-06-2017,TATAMOTORS,457.15,458.75,448.0,449.55,452.55,3577406
14-06-2017,TATAMOTORS,450.8,453.4,447.05,451.95,451.35,3605931
15-06-2017,TATAMOTORS,452.0,457.85,446.95,448.3,451.79,3879154
16-06-2017,TATAMOTORS,454.7,458.4,452.0,455.75,455.3,7042094
19-06-2017,TATAMOTORS,453.8,456.4,450.5,452.35,452.93,3869675
20-06-2017,TATAMOTORS,457.0,470.75,456.0,467.4,465.76,12014975
