Date,Symbol,Open,High,Low,Close,Volume
2018-01-01,ADANIENT,165.8,169.85,165.0,166.05,4220395
2018-01-02,ADANIENT,166.1,167.4,162.15,163.9,2712044
2018-01-03,ADANIENT,163.9,180.25,163.9,176.2,21268697
2018-01-04,ADANIENT,176.0,185.2,174.15,183.3,12411875
2018-01-05,ADANIENT,184.8,194.3,182.4,193.15,11521764
2018-01-08,ADANIENT,192.6,201.0,192.3,196.45,8253904
2018-01-09,ADANIENT,198.0,198.95,194.1,195.9,4715461
2018-01-10,ADANIENT,196.1,203.85,196.0,198.8,11667268
2018-01-11,ADANIENT,198.0,203.7,195.55,201.7,5579135
2018-01-12,ADANIENT,202.0,203.75,194.25,199.95,5218945
2018-01-15,ADANIENT,201.0,202.2,197.3,198.2,2971871
2018-01-16,ADANIENT,198.7,199.1,188.2,194.6,7331265
2018-01-17,ADANIENT,194.2,205.7,187.9,204.55,9472531
2018-01-18,ADANIENT,206.0,207.5,188.7,195.25,13242809
2018-01-19,ADANIENT,195.25,201.0,188.55,199.7,14032888
2018-01-22,ADANIENT,198.0,202.35,196.0,198.9,5740115
2018-01-23,ADANIENT,199.4,205.25,196.1,204.4,7561852
2018-01-24,ADANIENT,204.3,207.55,200.0,205.5,7805766
2018-01-25,ADANIENT,205.0,215.75,201.8,214.4,13233590
2018-01-29,ADANIENT,215.6,220.5,210.6,213.35,7973287
2018-01-30,ADANIENT,211.0,213.55,207.5,211.3,4290228
2018-01-31,ADANIENT,209.95,218.75,209.15,213.2,7732419
2018-02-01,ADANIENT,213.0,217.05,203.7,214.0,4905671
2018-02-02,ADANIENT,213.0,213.0,195.1,197.2,6946208
2018-02-05,ADANIENT,185.1,201.0,183.7,199.45,6443758
2018-02-06,ADANIENT,185.0,198.2,182.7,195.3,5920376
2018-02-07,ADANIENT,199.55,202.75,195.1,196.75,3982586
2018-02-08,ADANIENT,198.25,206.15,196.9,204.5,4439467
2018-02-09,ADANIENT,200.0,211.85,197.65,210.1,6060617
2018-02-12,ADANIENT,211.2,219.3,211.2,217.25,7269216
2018-02-14,ADANIENT,218.5,223.5,216.75,219.45,6915464
2018-02-15,ADANIENT,221.1,222.65,210.65,214.75,4974761
2018-02-16,ADANIENT,215.8,218.45,204.8,207.8,5458989
