Date,Symbol,Open,High,Low,Close,Volume
2010-01-04,ADANIENT,437.2,454.0,433.0,451.6,285126
2010-01-05,ADANIENT,453.0,463.95,453.0,462.05,349511
2010-01-06,ADANIENT,463.0,517.0,460.0,507.65,1122953
2010-01-07,ADANIENT,519.4,519.4,483.0,486.7,729468
2010-01-08,ADANIENT,489.8,508.0,482.2,492.85,509498
2010-01-11,ADANIENT,494.0,506.95,494.0,501.65,183421
2010-01-12,ADANIENT,504.5,512.0,461.65,468.65,578227
2010-01-13,ADANIENT,474.9,478.9,458.0,463.4,728048
2010-01-14,ADANIENT,469.7,487.0,467.1,482.5,482105
2010-01-15,ADANIENT,485.0,487.4,472.65,482.4,208602
2010-01-18,ADANIENT,476.15,482.4,474.2,476.65,563744
2010-01-19,ADANIENT,479.85,487.95,470.0,474.75,82478
2010-01-20,ADANIENT,480.0,482.75,471.05,478.15,113360
2010-01-21,ADANIENT,470.0,479.8,465.0,467.65,82925
2010-01-22,ADANIENT,463.0,472.0,445.0,463.55,94469
2010-01-25,ADANIENT,455.0,462.0,446.25,454.3,769461
2010-01-27,ADANIENT,456.0,458.85,432.6,445.1,481788
2010-01-28,ADANIENT,445.1,453.0,441.0,444.85,400075
2010-01-29,ADANIENT,437.0,446.0,430.1,443.25,120703
2010-02-01,ADANIENT,437.0,463.9,437.0,457.75,109156
2010-02-02,ADANIENT,462.0,479.9,454.1,466.85,467237
2010-02-03,ADANIENT,470.0,488.0,467.05,486.55,207410
2010-02-04,ADANIENT,480.0,484.2,473.0,478.5,101076
2010-02-05,ADANIENT,460.0,472.0,442.0,466.9,175861
2010-02-06,ADANIENT,469.9,477.0,466.25,468.9,10801
2010-02-08,ADANIENT,460.0,480.0,460.0,472.05,600302
2010-02-09,ADANIENT,472.05,484.5,467.55,478.75,601822
2010-02-10,ADANIENT,470.0,485.9,470.0,481.1,57191
2010-02-11,ADANIENT,477.0,493.0,477.0,485.7,357663
2010-02-15,ADANIENT,490.0,496.0,486.0,489.25,168811
2010-02-16,ADANIENT,495.0,500.85,491.05,497.7,129018
2010-02-17,ADANIENT,510.1,525.9,502.4,518.65,748471
2010-02-18,ADANIENT,518.4,518.4,496.05,503.9,245760
2010-02-19,ADANIENT,491.0,504.4,480.0,494.5,231152
2010-02-22,ADANIENT,501.0,502.0,485.05,491.95,253894
2010-02-23,ADANIENT,491.95,497.4,487.15,491.25,148058
2010-02-24,ADANIENT,488.0,492.05,485.0,490.8,137367
2010-02-25,ADANIENT,480.0,492.9,480.0,486.4,273827
2010-02-26,ADANIENT,487.0,495.7,480.15,486.6,455452
2010-03-02,ADANIENT,490.0,490.0,418.5,485.6,572930
2010-03-03,ADANIENT,486.0,501.4,486.0,495.3,426944
2010-03-04,ADANIENT,497.0,509.9,488.4,494.4,405879
2010-03-05,ADANIENT,495.0,506.65,493.25,503.9,193989
2010-03-08,ADANIENT,508.0,509.9,502.0,505.6,181276
2010-03-09,ADANIENT,505.3,506.8,499.1,504.75,72742
2010-03-10,ADANIENT,505.0,505.0,482.0,486.25,135787
2010-03-11,ADANIENT,452.25,484.95,452.25,474.6,167827
2010-03-12,ADANIENT,477.0,487.7,475.0,479.95,95945
2010-03-15,ADANIENT,481.0,484.0,474.1,480.2,69449
2010-03-16,ADANIENT,484.45,490.0,480.0,487.0,92962
2010-03-17,ADANIENT,493.8,493.8,479.0,481.65,328831
2010-03-18,ADANIENT,497.9,497.9,475.0,480.0,104272
