Date,Symbol,Open,High,Low,Close,Volume
2010-01-04,BAJAUTOFIN,332.7,344.9,332.7,343.1,45282
2010-01-05,BAJAUTOFIN,350.05,350.7,336.0,340.8,30972
2010-01-06,BAJAUTOFIN,341.0,351.0,335.2,345.7,18740
2010-01-07,BAJAUTOFIN,349.9,349.9,339.0,343.6,13493
2010-01-08,BAJAUTOFIN,344.1,359.0,342.45,349.85,30381
2010-01-11,BAJAUTOFIN,356.0,360.0,351.5,358.7,38089
2010-01-12,BAJAUTOFIN,367.0,377.4,336.25,345.2,215054
2010-01-13,BAJAUTOFIN,347.4,351.5,324.0,327.0,46646
2010-01-14,BAJAUTOFIN,330.1,342.0,330.1,335.75,24826
2010-01-15,BAJAUTOFIN,331.0,341.0,331.0,339.0,11575
2010-01-18,BAJAUTOFIN,342.85,353.8,335.0,349.45,31170
2010-01-19,BAJAUTOFIN,348.0,354.0,336.0,339.1,6313
2010-01-20,BAJAUTOFIN,347.0,347.0,335.05,339.25,7273
2010-01-21,BAJAUTOFIN,345.9,345.9,327.0,329.1,13793
2010-01-22,BAJAUTOFIN,325.1,338.8,306.05,329.4,19669
2010-01-25,BAJAUTOFIN,316.0,335.5,316.0,326.75,6840
2010-01-27,BAJAUTOFIN,325.0,326.7,315.0,317.0,9708
2010-01-28,BAJAUTOFIN,316.1,325.0,305.0,317.8,17065
2010-01-29,BAJAUTOFIN,310.5,315.0,304.0,308.5,29115
2010-02-01,BAJAUTOFIN,310.85,312.0,308.25,309.65,8557
2010-02-02,BAJAUTOFIN,348.0,348.0,300.0,301.95,22601
2010-02-03,BAJAUTOFIN,313.9,313.9,298.1,304.1,10448
2010-02-04,BAJAUTOFIN,302.05,304.9,298.0,299.15,11841
2010-02-05,BAJAUTOFIN,293.5,302.0,292.0,294.1,11105
2010-02-06,BAJAUTOFIN,275.55,298.9,275.55,291.6,2516
2010-02-08,BAJAUTOFIN,291.55,297.0,288.05,290.45,8251
2010-02-09,BAJAUTOFIN,291.5,309.0,290.0,296.45,9392
2010-02-10,BAJAUTOFIN,294.0,305.0,292.35,294.2,6219
2010-02-11,BAJAUTOFIN,293.65,298.9,290.0,291.8,5374
2010-02-15,BAJAUTOFIN,294.8,298.9,285.1,288.2,4584
2010-02-16,BAJAUTOFIN,290.15,293.0,285.3,290.95,6347
2010-02-17,BAJAUTOFIN,300.0,336.5,296.05,309.65,223170
2010-02-18,BAJAUTOFIN,310.0,313.0,298.1,301.3,28636
2010-02-19,BAJAUTOFIN,299.1,306.0,295.1,297.7,28851
2010-02-22,BAJAUTOFIN,310.0,310.0,294.5,295.55,12037
2010-02-23,BAJAUTOFIN,293.1,299.0,293.1,297.65,6467
2010-02-24,BAJAUTOFIN,296.6,297.0,290.1,291.9,5085
2010-02-25,BAJAUTOFIN,293.0,299.0,283.1,285.15,24013
2010-02-26,BAJAUTOFIN,282.75,315.0,282.75,300.35,129056
2010-03-02,BAJAUTOFIN,302.0,323.85,302.0,314.65,63235
2010-03-03,BAJAUTOFIN,325.0,326.0,315.0,321.25,32618
2010-03-04,BAJAUTOFIN,321.1,324.35,318.0,320.0,14559
2010-03-05,BAJAUTOFIN,324.8,325.0,315.15,322.3,11133
2010-03-08,BAJAUTOFIN,327.0,330.0,320.05,320.8,9439
2010-03-09,BAJAUTOFIN,323.8,325.0,315.5,322.5,16732
2010-03-10,BAJAUTOFIN,323.0,325.9,318.1,321.2,6754
2010-03-11,BAJAUTOFIN,320.6,323.6,310.0,312.65,13786
2010-03-12,BAJAUTOFIN,314.9,322.5,312.0,319.8,12434
2010-03-15,BAJAUTOFIN,315.25,321.25,310.0,312.85,4499
2010-03-16,BAJAUTOFIN,312.7,317.75,308.55,311.8,3316
2010-03-17,BAJAUTOFIN,319.0,319.0,310.3,313.35,2753
2010-03-18,BAJAUTOFIN,325.0,325.0,311.05,312.5,3495
2010-03-19,BAJAUTOFIN,312.0,317.5,311.0,311.15,4178
2010-03-22,BAJAUTOFIN,306.0,314.0,306.0,310.65,11798
2010-03-23,BAJAUTOFIN,316.0,316.0,305.1,306.75,9819
2010-03-25,BAJAUTOFIN,305.0,305.0,303.0,304.65,9070
2010-03-26,BAJAUTOFIN,306.0,320.75,304.45,313.35,42684
2010-03-29,BAJAUTOFIN,315.5,328.85,312.0,315.4,24762
2010-03-30,BAJAUTOFIN,318.0,328.0,316.7,323.45,16049
2010-03-31,BAJAUTOFIN,324.0,325.0,316.6,320.35,5882
2010-04-01,BAJAUTOFIN,317.0,327.0,317.0,325.7,12639
2010-04-05,BAJAUTOFIN,326.75,333.0,322.7,329.7,13339
2010-04-06,BAJAUTOFIN,335.0,337.8,325.55,331.4,7689
2010-04-07,BAJAUTOFIN,334.7,337.0,330.95,335.8,12088
2010-04-08,BAJAUTOFIN,331.45,337.1,331.45,334.05,26516
2010-04-09,BAJAUTOFIN,338.0,341.0,330.1,336.65,16738
2010-04-12,BAJAUTOFIN,338.9,355.0,337.05,352.6,43762
2010-04-13,BAJAUTOFIN,350.1,362.9,343.1,353.3,37988
2010-04-15,BAJAUTOFIN,355.0,355.0,344.05,345.25,22706
2010-04-16,BAJAUTOFIN,341.0,373.0,341.0,368.45,112550
2010-04-19,BAJAUTOFIN,365.5,381.9,350.0,374.9,59392
2010-04-20,BAJAUTOFIN,377.05,399.5,377.0,385.85,204338
2010-04-21,BAJAUTOFIN,389.7,402.7,382.0,399.8,71160
2010-04-22,BAJAUTOFIN,400.0,404.65,391.05,403.0,50961
2010-04-23,BAJAUTOFIN,404.0,409.0,396.2,406.25,20281
2010-04-26,BAJAUTOFIN,407.95,414.0,401.15,408.55,19109
2010-04-27,BAJAUTOFIN,410.4,423.9,404.4,419.55,35261
2010-04-28,BAJAUTOFIN,415.0,427.45,409.0,420.55,54914
2010-04-29,BAJAUTOFIN,410.05,427.0,410.05,425.6,29569
2010-04-30,BAJAUTOFIN,430.95,446.0,420.15,428.8,33853
2010-05-03,BAJAUTOFIN,428.8,438.0,395.8,425.75,83261
2010-05-04,BAJAUTOFIN,431.0,435.85,421.0,423.6,22008
2010-05-05,BAJAUTOFIN,415.0,490.2,411.0,442.35,457444
2010-05-06,BAJAUTOFIN,443.0,447.25,428.35,432.05,63234
2010-05-07,BAJAUTOFIN,410.0,429.4,401.0,425.4,26598
2010-05-10,BAJAUTOFIN,415.1,454.8,415.1,435.85,89523
2010-05-11,BAJAUTOFIN,442.5,449.5,423.15,429.25,88598
2010-05-12,BAJAUTOFIN,435.0,448.0,432.1,437.85,64843
2010-05-13,BAJAUTOFIN,439.9,485.9,435.0,475.65,490410
2010-05-14,BAJAUTOFIN,482.0,505.0,471.1,492.15,447979
2010-05-17,BAJAUTOFIN,482.3,510.0,475.0,493.9,127602
2010-05-18,BAJAUTOFIN,500.0,505.0,480.0,483.0,44893
2010-05-19,BAJAUTOFIN,483.0,483.0,456.85,473.9,211306
2010-05-20,BAJAUTOFIN,475.0,485.0,461.0,472.2,33784
2010-05-21,BAJAUTOFIN,469.9,476.0,457.5,474.75,384935
2010-05-24,BAJAUTOFIN,466.6,477.0,440.5,451.8,19791
2010-05-25,BAJAUTOFIN,441.0,447.0,420.2,433.3,20338
2010-05-26,BAJAUTOFIN,429.0,456.5,429.0,450.85,32198
2010-05-27,BAJAUTOFIN,457.0,464.0,442.45,461.3,13470
2010-05-28,BAJAUTOFIN,470.0,472.95,448.1,462.95,9032
2010-05-31,BAJAUTOFIN,461.1,462.9,445.1,456.4,11867
2010-06-01,BAJAUTOFIN,465.0,474.15,459.0,469.9,22874
2010-06-02,BAJAUTOFIN,465.0,475.0,465.0,470.6,14786
2010-06-03,BAJAUTOFIN,472.0,475.0,460.1,466.65,16103
2010-06-04,BAJAUTOFIN,467.2,477.9,460.1,474.9,38697
2010-06-07,BAJAUTOFIN,490.2,490.2,459.95,460.55,10050
2010-06-08,BAJAUTOFIN,460.5,474.85,455.0,457.6,11495
2010-06-09,BAJAUTOFIN,464.25,484.0,464.25,474.7,122315
2010-06-10,BAJAUTOFIN,477.9,477.9,469.2,474.95,29455
2010-06-11,BAJAUTOFIN,477.0,480.0,464.0,464.9,11024
2010-06-14,BAJAUTOFIN,474.8,474.8,463.25,468.1,9955
2010-06-15,BAJAUTOFIN,469.95,478.0,467.0,475.35,35417
2010-06-16,BAJAUTOFIN,479.9,479.9,471.0,474.8,44026
2010-06-17,BAJAUTOFIN,475.0,475.95,466.05,474.95,120320
2010-06-18,BAJAUTOFIN,470.0,475.0,469.0,474.9,105505
2010-06-21,BAJAUTOFIN,475.0,476.0,473.0,474.95,78608
2010-06-22,BAJAUTOFIN,474.85,475.35,473.0,475.0,49655
2010-06-23,BAJAUTOFIN,472.0,475.0,472.0,474.8,6582
2010-06-24,BAJAUTOFIN,475.0,475.0,474.15,475.0,48955
2010-06-25,BAJAUTOFIN,475.0,480.0,470.7,474.75,19938
2010-06-28,BAJAUTOFIN,473.0,475.0,467.05,470.75,32727
2010-06-29,BAJAUTOFIN,473.95,475.0,462.15,465.15,14705
2010-06-30,BAJAUTOFIN,460.0,475.0,460.0,474.8,36847
2010-07-01,BAJAUTOFIN,470.0,473.9,459.0,462.9,22697
2010-07-02,BAJAUTOFIN,462.5,484.8,458.6,473.4,86618
2010-07-05,BAJAUTOFIN,474.55,513.85,471.05,493.45,292404
2010-07-06,BAJAUTOFIN,498.9,509.0,492.05,503.75,200830
2010-07-07,BAJAUTOFIN,515.0,515.0,498.0,504.9,64500
2010-07-08,BAJAUTOFIN,508.0,509.95,499.0,506.65,44275
2010-07-09,BAJAUTOFIN,506.5,523.0,503.1,510.1,267181
2010-07-12,BAJAUTOFIN,512.0,539.4,510.1,513.7,130191
2010-07-13,BAJAUTOFIN,515.0,538.0,515.0,533.85,55247
2010-07-14,BAJAUTOFIN,539.9,550.0,525.15,535.3,111060
2010-07-15,BAJAUTOFIN,535.3,536.75,525.0,530.3,29989
2010-07-16,BAJAUTOFIN,530.3,556.0,528.4,544.65,99814
2010-07-19,BAJAUTOFIN,503.65,559.85,503.65,549.8,55226
2010-07-20,BAJAUTOFIN,553.5,557.0,527.0,542.0,37476
2010-07-21,BAJAUTOFIN,543.0,557.8,538.0,550.1,354236
2010-07-22,BAJAUTOFIN,554.9,563.4,536.0,537.45,42601
2010-07-23,BAJAUTOFIN,548.9,548.9,522.15,526.45,35187
2010-07-26,BAJAUTOFIN,493.65,549.95,493.65,540.95,45480
2010-07-27,BAJAUTOFIN,541.7,552.0,532.6,547.55,52403
2010-07-28,BAJAUTOFIN,550.0,574.0,535.3,551.8,111937
2010-07-29,BAJAUTOFIN,545.1,568.0,545.1,563.9,44423
2010-07-30,BAJAUTOFIN,562.1,578.55,552.0,569.0,112306
2010-08-02,BAJAUTOFIN,575.95,588.0,552.2,574.6,35056
2010-08-03,BAJAUTOFIN,579.0,584.0,566.1,569.5,29399
2010-08-04,BAJAUTOFIN,577.0,584.0,560.1,580.4,40293
2010-08-05,BAJAUTOFIN,584.0,584.0,575.0,576.75,41735
2010-08-06,BAJAUTOFIN,571.0,599.0,571.0,589.35,121606
2010-08-09,BAJAUTOFIN,595.0,624.0,593.3,609.7,163013
2010-08-10,BAJAUTOFIN,611.95,615.0,595.0,602.95,42297
2010-08-11,BAJAUTOFIN,600.0,624.0,598.35,607.6,64309
2010-08-12,BAJAUTOFIN,587.6,616.9,587.6,610.9,22560
2010-08-13,BAJAUTOFIN,614.0,616.85,597.05,600.3,21518
