Date,Symbol,Open,High,Low,Close,Volume
2018-05-14,RELIANCE,991.95,991.95,976.7,986.6,2579561
2018-05-15,RELIANCE,983.05,1000.0,976.65,978.95,4800923
2018-05-16,RELIANCE,974.0,974.0,952.45,956.15,8613363
2018-05-17,RELIANCE,959.35,960.0,941.5,945.35,4733477
2018-05-18,RELIANCE,945.6,953.5,932.0,933.85,5230037
2018-05-21,RELIANCE,930.75,935.7,922.1,931.35,6624893
2018-05-22,RELIANCE,933.15,934.0,925.0,926.75,5170585
2018-05-23,RELIANCE,926.0,926.0,909.15,912.25,4567562
2018-05-24,RELIANCE,914.0,921.0,910.15,915.85,5317983
2018-05-25,RELIANCE,916.0,923.4,914.45,920.8,8129520
2018-05-28,RELIANCE,924.9,927.0,918.1,920.4,5197835
2018-05-29,RELIANCE,921.5,928.0,914.4,917.45,8173396
2018-05-30,RELIANCE,914.85,923.2,906.6,916.1,5991222
2018-05-31,RELIANCE,921.0,922.3,914.55,921.35,16951801
2018-06-01,RELIANCE,920.0,935.75,918.45,930.55,8765835
2018-06-04,RELIANCE,933.4,944.0,930.55,940.85,5600357
2018-06-05,RELIANCE,942.8,955.0,941.0,947.65,7971524
2018-06-06,RELIANCE,947.0,956.0,942.65,954.4,4189483
2018-06-07,RELIANCE,954.9,976.0,954.45,971.35,6857300
2018-06-08,RELIANCE,966.35,986.55,960.6,984.35,6532599
2018-06-11,RELIANCE,987.1,999.95,979.05,982.65,6866053
2018-06-12,RELIANCE,983.4,1000.0,980.3,997.15,7445221
2018-06-13,RELIANCE,1000.0,1005.9,989.5,1002.5,5926020
2018-06-14,RELIANCE,997.45,1011.8,987.4,1007.95,5484867
2018-06-15,RELIANCE,1006.0,1023.5,999.25,1014.2,11294702
2018-06-18,RELIANCE,1008.8,1020.45,1007.0,1015.55,5652374
2018-06-19,RELIANCE,1013.9,1014.8,993.65,996.05,6346101
2018-06-20,RELIANCE,996.0,1022.9,994.85,1019.25,7193824
2018-06-21,RELIANCE,1023.45,1036.0,1021.3,1031.95,10509756
2018-06-22,RELIANCE,1028.4,1029.2,1008.45,1012.5,16169978
2018-06-25,RELIANCE,1011.4,1016.5,1002.3,1004.45,5197694
2018-06-26,RELIANCE,1006.0,1006.0,975.25,978.95,8068585
2018-06-27,RELIANCE,978.5,985.4,962.7,965.85,8958555
2018-06-28,RELIANCE,962.0,968.5,940.3,944.95,8581234
2018-06-29,RELIANCE,949.1,975.5,949.0,972.45,7966401
2018-07-02,RELIANCE,972.35,972.35,957.0,960.6,6660916
2018-07-03,RELIANCE,965.0,978.45,960.35,971.3,5067261
2018-07-04,RELIANCE,971.8,992.0,971.0,990.1,5000724
2018-07-05,RELIANCE,997.0,1008.4,958.6,964.5,18719353
2018-07-06,RELIANCE,964.75,983.0,964.5,977.55,9161266
2018-07-09,RELIANCE,987.1,1000.0,983.5,997.1,5170189
2018-07-10,RELIANCE,1002.75,1028.5,1000.0,1025.7,10444513
2018-07-11,RELIANCE,1025.0,1040.9,1017.85,1038.8,8665072
2018-07-12,RELIANCE,1044.35,1099.0,1042.6,1082.35,24109297
2018-07-13,RELIANCE,1080.5,1109.0,1080.0,1099.8,17967282
2018-07-16,RELIANCE,1099.8,1108.9,1073.05,1076.2,6595781
2018-07-17,RELIANCE,1078.3,1095.95,1069.6,1092.35,6469256
2018-07-18,RELIANCE,1098.4,1104.6,1077.3,1092.55,4682099
2018-07-19,RELIANCE,1093.3,1115.0,1086.35,1104.85,5433617
2018-07-20,RELIANCE,1113.4,1138.5,1111.9,1128.65,8018150
2018-07-23,RELIANCE,1129.8,1129.8,1113.1,1120.3,5842496
2018-07-24,RELIANCE,1122.0,1126.75,1107.4,1110.95,4469144
2018-07-25,RELIANCE,1110.0,1123.0,1104.2,1115.15,5949680
2018-07-26,RELIANCE,1110.1,1121.5,1107.8,1110.65,6424867
2018-07-27,RELIANCE,1119.5,1137.4,1112.15,1129.85,6679468
2018-07-30,RELIANCE,1130.0,1157.3,1128.0,1151.4,13872467
2018-07-31,RELIANCE,1151.0,1190.4,1147.15,1186.0,13875377
2018-08-01,RELIANCE,1190.4,1202.9,1185.4,1192.35,9704295
2018-08-02,RELIANCE,1191.5,1191.5,1165.95,1168.35,6248975
2018-08-03,RELIANCE,1175.0,1183.5,1169.55,1176.95,6645397
2018-08-06,RELIANCE,1176.7,1196.0,1175.35,1192.6,4016418
2018-08-07,RELIANCE,1194.9,1201.4,1177.0,1184.2,4059460
