Date,Symbol,Open,High,Low,Close,Volume
2010-01-04,SBIN,2275.0,2300.0,2275.0,2291.2,1103147
2010-01-05,SBIN,2308.0,2310.0,2280.1,2292.05,1161374
2010-01-06,SBIN,2297.0,2315.0,2285.0,2305.8,1452793
2010-01-07,SBIN,2306.0,2310.0,2281.1,2292.9,857651
2010-01-08,SBIN,2294.0,2303.9,2280.1,2286.05,1045382
2010-01-11,SBIN,2297.0,2312.7,2263.25,2267.2,1414534
2010-01-12,SBIN,2267.0,2270.0,2196.2,2203.2,2291772
2010-01-13,SBIN,2195.0,2195.0,2158.1,2175.9,2171969
2010-01-14,SBIN,2188.0,2199.0,2145.55,2157.35,2072399
2010-01-15,SBIN,2168.0,2178.4,2136.8,2143.35,2061192
2010-01-18,SBIN,2175.0,2183.05,2142.8,2156.4,1922217
2010-01-19,SBIN,2169.8,2187.0,2157.0,2173.1,1227707
2010-01-20,SBIN,2184.0,2186.6,2152.55,2159.85,1683072
2010-01-21,SBIN,2159.0,2161.3,2112.3,2124.1,1926547
2010-01-22,SBIN,2100.15,2106.5,2053.05,2087.35,2719318
2010-01-25,SBIN,2055.55,2137.0,2055.55,2091.6,1537804
2010-01-27,SBIN,2060.0,2068.4,1971.1,1987.65,3806891
2010-01-28,SBIN,2100.0,2100.0,1991.0,2003.25,2795246
2010-01-29,SBIN,1990.0,2067.4,1955.05,2056.6,4648719
2010-02-01,SBIN,2148.0,2148.0,2015.5,2021.25,2204716
2010-02-02,SBIN,2030.2,2045.2,1974.15,1978.35,2408626
2010-02-03,SBIN,1986.3,2015.9,1983.5,1998.8,3045071
2010-02-04,SBIN,1996.0,1996.7,1940.0,1947.9,3535712
2010-02-05,SBIN,1930.0,1930.0,1863.1,1897.8,2687883
2010-02-06,SBIN,1910.0,1924.45,1898.25,1912.45,209862
2010-02-08,SBIN,1900.0,1947.8,1883.65,1936.55,1888513
2010-02-09,SBIN,1931.0,1958.0,1925.0,1950.3,1383698
2010-02-10,SBIN,1970.0,1970.0,1895.0,1911.85,1973193
2010-02-11,SBIN,1923.9,1940.0,1911.0,1917.65,1242794
2010-02-15,SBIN,1925.0,1925.0,1886.3,1895.0,1332501
2010-02-16,SBIN,1914.0,1925.0,1895.0,1920.6,807015
2010-02-17,SBIN,1935.0,1962.5,1927.25,1956.85,1346836
2010-02-18,SBIN,1957.9,1960.0,1927.3,1942.4,1310323
2010-02-19,SBIN,1925.0,1934.0,1890.05,1905.3,1586302
2010-02-22,SBIN,1920.0,1935.0,1910.15,1916.35,1152865
2010-02-23,SBIN,1914.9,1934.5,1906.6,1911.9,1062577
2010-02-24,SBIN,1906.0,1930.0,1900.0,1921.25,817359
2010-02-25,SBIN,1925.0,1930.0,1903.4,1913.65,2161596
2010-02-26,SBIN,1925.0,2032.0,1915.0,1974.3,4321519
2010-03-02,SBIN,1990.55,2011.0,1974.2,1986.65,1934735
2010-03-03,SBIN,1989.1,2025.9,1989.1,2022.4,1584368
2010-03-04,SBIN,2023.0,2044.7,2012.0,2032.7,1430107
2010-03-05,SBIN,2045.0,2059.0,2021.1,2047.2,1268507
2010-03-08,SBIN,2060.0,2112.5,2033.1,2065.95,3866479
2010-03-09,SBIN,2032.55,2078.0,2032.55,2044.6,1430528
2010-03-10,SBIN,2050.2,2050.2,2026.4,2037.25,1276763
2010-03-11,SBIN,2040.0,2052.8,2018.3,2045.75,1197980
2010-03-12,SBIN,2042.0,2062.65,2038.65,2047.9,1203343
2010-03-15,SBIN,2039.5,2044.75,2011.1,2015.1,899749
2010-03-16,SBIN,2017.05,2025.0,1997.6,2015.85,1285717
2010-03-17,SBIN,2020.05,2042.0,2015.65,2027.3,1077737
2010-03-18,SBIN,2030.0,2050.5,2010.5,2029.65,1426907
2010-03-19,SBIN,2040.0,2065.85,2033.3,2058.45,1288913
2010-03-22,SBIN,2025.15,2053.8,2010.0,2040.95,1115156
2010-03-23,SBIN,2042.0,2056.65,2018.6,2048.55,1365050
2010-03-25,SBIN,2044.65,2061.6,2025.2,2049.55,1364648
2010-03-26,SBIN,2054.85,2078.0,2045.05,2072.85,1342271
2010-03-29,SBIN,2075.0,2105.0,2073.0,2095.05,1123155
2010-03-30,SBIN,2095.05,2121.95,2075.0,2082.55,1192988
2010-03-31,SBIN,2085.0,2098.9,2073.35,2078.2,999722
2010-04-01,SBIN,2080.0,2108.0,2075.3,2102.6,768145
2010-04-05,SBIN,2115.0,2142.2,2105.0,2138.25,1107535
2010-04-06,SBIN,2143.9,2147.75,2112.1,2123.55,1235930
2010-04-07,SBIN,2130.3,2135.0,2096.0,2110.9,1300415
2010-04-08,SBIN,2105.0,2109.8,2087.55,2095.9,1149701
2010-04-09,SBIN,2100.0,2125.0,2093.55,2106.1,1236719
2010-04-12,SBIN,2115.0,2115.0,2080.0,2092.0,861412
2010-04-13,SBIN,2097.0,2112.0,2063.0,2093.95,1761909
2010-04-15,SBIN,2096.65,2109.05,2048.0,2054.05,1301622
2010-04-16,SBIN,2050.0,2054.85,2025.25,2047.7,946618
2010-04-19,SBIN,2039.95,2044.9,2012.0,2032.45,925060
2010-04-20,SBIN,2042.4,2106.6,2021.0,2098.35,2499328
2010-04-21,SBIN,2110.0,2119.0,2086.6,2105.8,1563300
2010-04-22,SBIN,2082.1,2248.9,2082.1,2223.1,6530676
2010-04-23,SBIN,2230.0,2294.0,2211.0,2260.6,3178456
2010-04-26,SBIN,2264.0,2279.0,2241.1,2251.55,1214560
2010-04-27,SBIN,2252.0,2255.0,2209.1,2217.8,1109476
2010-04-28,SBIN,2204.0,2251.85,2182.5,2232.2,1868425
2010-04-29,SBIN,2240.0,2285.0,2235.0,2274.0,2139394
2010-04-30,SBIN,2280.0,2318.9,2280.0,2300.7,1914631
2010-05-03,SBIN,2290.0,2305.0,2277.05,2297.15,1316089
2010-05-04,SBIN,2305.0,2315.9,2273.1,2280.1,1339762
2010-05-05,SBIN,2260.0,2285.0,2240.5,2276.2,1671701
2010-05-06,SBIN,2280.0,2320.0,2262.3,2311.6,1775130
2010-05-07,SBIN,2275.2,2291.8,2218.35,2226.15,1608535
2010-05-10,SBIN,2250.0,2325.1,2242.15,2307.85,1479169
2010-05-11,SBIN,2314.0,2338.95,2281.15,2287.85,1837797
2010-05-12,SBIN,2290.0,2339.0,2282.0,2324.2,2020404
2010-05-13,SBIN,2332.0,2349.0,2306.2,2317.75,1776291
2010-05-14,SBIN,2315.0,2333.9,2211.6,2224.25,3300888
2010-05-17,SBIN,2210.0,2272.0,2141.35,2250.75,2570305
2010-05-18,SBIN,2247.9,2298.0,2231.35,2280.0,1890134
2010-05-19,SBIN,2260.0,2273.0,2190.0,2214.15,2041502
2010-05-20,SBIN,2222.0,2282.0,2221.1,2267.5,1703996
