Date,Symbol,Open,High,Low,Close,Volume
2018-01-01,TATAMOTORS,430.95,436.4,422.25,424.45,6807536
2018-01-02,TATAMOTORS,428.85,440.85,422.0,439.3,15331261
2018-01-03,TATAMOTORS,440.4,441.4,431.95,433.9,9794953
2018-01-04,TATAMOTORS,430.0,433.3,425.75,429.95,8395377
2018-01-05,TATAMOTORS,431.25,436.35,429.8,431.6,7021611
2018-01-08,TATAMOTORS,432.0,436.2,431.65,433.55,4635214
2018-01-09,TATAMOTORS,434.25,443.5,433.0,437.55,12629045
2018-01-10,TATAMOTORS,438.0,439.3,431.3,433.3,4702579
2018-01-11,TATAMOTORS,433.5,437.6,432.9,434.75,4565005
2018-01-12,TATAMOTORS,437.0,441.45,432.1,437.1,7408870
2018-01-15,TATAMOTORS,438.05,440.05,431.05,432.35,4042775
2018-01-16,TATAMOTORS,433.0,435.2,419.5,421.9,5623745
2018-01-17,TATAMOTORS,422.05,424.5,410.1,422.95,10204447
2018-01-18,TATAMOTORS,424.0,428.3,414.45,418.95,9579830
2018-01-19,TATAMOTORS,415.2,421.95,415.05,418.05,3894062
2018-01-22,TATAMOTORS,419.05,424.4,418.45,421.9,4643782
2018-01-23,TATAMOTORS,422.8,422.8,414.75,418.0,6185011
2018-01-24,TATAMOTORS,416.0,416.25,402.65,403.6,10789570
2018-01-25,TATAMOTORS,403.45,407.65,398.0,400.3,16312167
2018-01-29,TATAMOTORS,402.5,405.9,398.1,399.25,5789602
2018-01-30,TATAMOTORS,400.0,402.3,395.0,395.85,6963005
2018-01-31,TATAMOTORS,395.5,400.95,395.25,399.5,5111454
2018-02-01,TATAMOTORS,399.9,403.8,390.55,393.65,7259426
2018-02-02,TATAMOTORS,392.0,397.4,381.3,383.75,10070356
2018-02-05,TATAMOTORS,381.0,398.0,380.0,395.8,9876017
2018-02-06,TATAMOTORS,363.0,379.85,356.5,375.45,25294860
2018-02-07,TATAMOTORS,380.4,385.4,375.2,377.8,12706795
2018-02-08,TATAMOTORS,379.9,380.0,372.2,374.85,12452396
2018-02-09,TATAMOTORS,369.9,373.2,368.0,368.75,8816777
2018-02-12,TATAMOTORS,373.4,376.2,370.2,371.8,6002369
2018-02-14,TATAMOTORS,372.9,382.3,370.6,376.85,9623436
2018-02-15,TATAMOTORS,379.8,382.2,373.1,375.8,10225880
2018-02-16,TATAMOTORS,378.0,379.4,367.6,370.75,8545282
2018-02-19,TATAMOTORS,373.7,374.7,362.8,368.75,5658765
2018-02-20,TATAMOTORS,370.35,370.9,366.5,369.3,3972114
2018-02-21,TATAMOTORS,372.5,372.5,362.85,364.45,8640166
2018-02-22,TATAMOTORS,363.0,363.0,357.5,358.5,10870704
2018-02-23,TATAMOTORS,360.1,364.6,358.75,360.2,6751064
2018-02-26,TATAMOTORS,362.0,373.5,362.0,372.05,10576794
2018-02-27,TATAMOTORS,375.0,376.6,370.35,372.55,6156672
2018-02-28,TATAMOTORS,370.0,373.65,367.15,369.9,8009429
2018-03-01,TATAMOTORS,369.75,376.3,369.05,370.75,6991806
2018-03-05,TATAMOTORS,368.75,368.75,350.1,352.05,14665325
2018-03-06,TATAMOTORS,355.15,357.95,345.0,346.5,8876632
2018-03-07,TATAMOTORS,345.0,355.3,343.25,347.8,15599393
2018-03-08,TATAMOTORS,350.8,351.9,341.05,345.15,7674221
2018-03-09,TATAMOTORS,345.55,348.7,340.15,341.5,5519224
2018-03-12,TATAMOTORS,345.0,353.8,340.35,352.6,8238960
2018-03-13,TATAMOTORS,352.6,356.45,350.0,353.15,6184241
2018-03-14,TATAMOTORS,351.0,354.9,349.6,354.05,3820313
2018-03-15,TATAMOTORS,354.05,358.4,351.1,353.1,4331145
2018-03-16,TATAMOTORS,352.05,352.6,338.4,339.75,14205582
2018-03-19,TATAMOTORS,341.2,342.1,332.55,335.7,9391347
2018-03-20,TATAMOTORS,335.5,340.4,333.55,338.8,5080453
2018-03-21,TATAMOTORS,339.9,342.25,332.25,333.85,6812442
2018-03-22,TATAMOTORS,338.5,340.25,334.8,338.2,9255091
2018-03-23,TATAMOTORS,330.0,334.8,329.6,330.85,8578297
2018-03-26,TATAMOTORS,328.8,333.9,324.3,332.35,8907023
2018-03-27,TATAMOTORS,333.95,335.8,330.1,331.15,6822448
2018-03-28,TATAMOTORS,331.5,333.65,325.2,326.85,10975624
2018-04-02,TATAMOTORS,335.0,340.8,332.7,339.15,9874486
2018-04-03,TATAMOTORS,338.4,344.5,337.15,343.1,6989584
2018-04-04,TATAMOTORS,346.8,363.7,346.25,355.6,27157199
2018-04-05,TATAMOTORS,362.6,372.35,359.8,362.2,28886070
2018-04-06,TATAMOTORS,362.0,368.35,356.45,364.1,13297051
2018-04-09,TATAMOTORS,361.9,368.6,357.0,358.3,9555113
2018-04-10,TATAMOTORS,360.5,362.35,351.5,353.25,8201215
2018-04-11,TATAMOTORS,355.0,357.15,350.5,355.8,5622957
2018-04-12,TATAMOTORS,358.0,364.4,357.0,358.4,13145938
2018-04-13,TATAMOTORS,357.9,361.0,354.4,357.05,5935628
2018-04-16,TATAMOTORS,350.8,352.8,337.55,339.15,19157051
2018-04-17,TATAMOTORS,342.3,344.2,332.6,336.45,14241074
2018-04-18,TATAMOTORS,338.2,339.75,333.4,334.8,6699271
2018-04-19,TATAMOTORS,336.5,337.0,332.5,334.25,7087115
2018-04-20,TATAMOTORS,335.95,343.25,334.6,336.0,11908652
2018-04-23,TATAMOTORS,335.95,339.5,333.0,334.05,8056732
2018-04-24,TATAMOTORS,334.8,335.0,330.6,331.55,9210931
2018-04-25,TATAMOTORS,330.8,334.0,327.75,328.6,6306039
2018-04-26,TATAMOTORS,329.9,335.95,326.0,330.25,16647689
2018-04-27,TATAMOTORS,333.0,337.65,331.05,336.9,8804236
2018-04-30,TATAMOTORS,338.5,342.75,337.25,340.4,5937740
2018-05-02,TATAMOTORS,349.2,351.65,335.0,336.05,16022148
2018-05-03,TATAMOTORS,335.5,335.9,329.15,333.5,6870513
2018-05-04,TATAMOTORS,333.75,337.3,329.5,334.4,6660062
2018-05-07,TATAMOTORS,337.85,337.85,333.7,335.15,3888627
2018-05-08,TATAMOTORS,336.3,336.6,330.25,332.15,8114997
2018-05-09,TATAMOTORS,331.0,347.25,331.0,341.95,19019847
2018-05-10,TATAMOTORS,343.75,343.75,332.75,333.6,11158000
2018-05-11,TATAMOTORS,334.0,334.0,330.0,330.8,7365579
2018-05-14,TATAMOTORS,333.0,333.0,323.0,323.6,8312976
2018-05-15,TATAMOTORS,324.0,324.05,305.7,310.1,15323964
2018-05-16,TATAMOTORS,309.95,315.75,306.7,310.25,12051269
2018-05-17,TATAMOTORS,313.1,319.5,309.3,314.9,10214660
2018-05-18,TATAMOTORS,314.75,315.0,303.5,304.6,11688577
2018-05-21,TATAMOTORS,304.75,307.2,294.7,295.9,11549490
2018-05-22,TATAMOTORS,296.55,312.5,296.55,307.7,17199292
2018-05-23,TATAMOTORS,311.1,317.25,305.4,309.45,17698475
2018-05-24,TATAMOTORS,300.0,307.65,284.1,288.65,46104103
2018-05-25,TATAMOTORS,290.4,297.45,286.25,294.15,19240172
2018-05-28,TATAMOTORS,293.75,299.9,290.3,296.3,8516862
2018-05-29,TATAMOTORS,296.8,300.0,293.0,294.65,9816561
2018-05-30,TATAMOTORS,289.95,292.25,286.15,288.9,11649429
2018-05-31,TATAMOTORS,289.95,290.85,281.6,282.5,28771987
