Date,Symbol,Open,High,Low,Close,Volume
2010-01-04,BAJAJFINSV,349.45,361.25,346.25,359.45,242661
2010-01-05,BAJAJFINSV,365.0,371.7,357.05,360.25,192143
2010-01-06,BAJAJFINSV,360.0,362.0,350.1,351.75,67893
2010-01-07,BAJAJFINSV,352.0,356.95,347.0,349.0,46940
2010-01-08,BAJAJFINSV,353.0,358.25,348.0,350.0,52937
2010-01-11,BAJAJFINSV,354.6,355.5,347.5,351.55,135685
2010-01-12,BAJAJFINSV,354.9,356.9,341.0,343.1,119529
2010-01-13,BAJAJFINSV,340.0,340.9,334.1,339.45,93307
2010-01-14,BAJAJFINSV,342.0,346.0,339.0,340.15,60551
2010-01-15,BAJAJFINSV,340.95,351.0,338.3,343.55,70631
2010-01-18,BAJAJFINSV,336.75,347.9,336.75,346.4,35320
2010-01-19,BAJAJFINSV,347.0,356.5,347.0,352.75,104056
2010-01-20,BAJAJFINSV,352.0,356.1,347.55,352.15,48002
2010-01-21,BAJAJFINSV,349.0,355.0,345.0,347.95,67449
2010-01-22,BAJAJFINSV,338.6,353.45,335.05,348.5,67841
2010-01-25,BAJAJFINSV,349.9,350.95,340.0,343.45,61334
2010-01-27,BAJAJFINSV,340.0,343.0,321.75,325.8,119545
2010-01-28,BAJAJFINSV,339.4,339.4,316.0,320.9,36583
2010-01-29,BAJAJFINSV,317.85,322.5,310.35,318.6,39201
2010-02-01,BAJAJFINSV,318.6,341.0,315.0,330.0,318443
2010-02-02,BAJAJFINSV,334.95,339.75,326.15,330.35,108887
2010-02-03,BAJAJFINSV,324.0,341.0,324.0,338.2,136867
2010-02-04,BAJAJFINSV,340.0,342.5,337.0,339.85,313823
2010-02-05,BAJAJFINSV,320.0,349.95,320.0,346.85,59931
2010-02-06,BAJAJFINSV,342.0,347.85,342.0,343.7,5704
2010-02-08,BAJAJFINSV,345.0,361.65,344.05,359.5,104235
2010-02-09,BAJAJFINSV,359.5,359.5,347.9,348.6,49045
