Date,Symbol,Open,High,Low,Close,Volume
2010-01-04,TATAMOTORS,789.9,829.0,789.3,826.45,5522060
2010-01-05,TATAMOTORS,820.0,844.7,774.45,812.05,4683627
2010-01-06,TATAMOTORS,819.7,823.4,805.1,813.3,2966347
2010-01-07,TATAMOTORS,814.5,818.3,780.0,785.5,4496180
2010-01-08,TATAMOTORS,790.0,804.8,785.05,789.8,3264144
2010-01-11,TATAMOTORS,799.0,799.0,782.25,790.15,2330275
2010-01-12,TATAMOTORS,788.0,797.0,781.05,786.3,2108807
2010-01-13,TATAMOTORS,785.0,794.4,772.1,784.95,3494394
2010-01-14,TATAMOTORS,786.0,792.3,779.55,782.15,1706935
2010-01-15,TATAMOTORS,783.0,803.5,775.0,797.2,3750935
2010-01-18,TATAMOTORS,793.65,813.7,785.25,810.85,3711513
2010-01-19,TATAMOTORS,813.0,818.8,802.05,806.7,2287394
2010-01-20,TATAMOTORS,810.0,812.4,799.05,804.95,2015455
2010-01-21,TATAMOTORS,799.7,803.65,780.3,782.75,1838675
2010-01-22,TATAMOTORS,762.4,787.5,754.0,778.05,2512751
2010-01-25,TATAMOTORS,778.2,783.0,760.0,768.65,1671809
2010-01-27,TATAMOTORS,752.0,762.4,711.2,717.95,3184421
2010-01-28,TATAMOTORS,725.0,734.65,702.25,711.1,5366454
2010-01-29,TATAMOTORS,705.0,711.8,671.5,694.35,4135524
2010-02-01,TATAMOTORS,687.7,723.35,678.35,719.85,4769256
2010-02-02,TATAMOTORS,730.0,740.0,705.05,709.45,4317482
2010-02-03,TATAMOTORS,715.0,727.0,709.35,721.55,2308382
2010-02-04,TATAMOTORS,721.0,725.0,686.1,689.6,2842331
2010-02-05,TATAMOTORS,670.0,678.5,658.15,672.2,4402157
2010-02-06,TATAMOTORS,675.0,682.5,675.0,680.2,326199
2010-02-08,TATAMOTORS,675.05,687.9,633.75,673.25,3433210
2010-02-09,TATAMOTORS,665.25,688.0,664.05,676.35,2648549
